,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
138,,3,PS,1,1,1,3,58.05,1,3728,Vila Franca do Campo,Açores,0,63,0.98,,False,115,1.79,6,6422,65.22,António Fernando Raposo Cordeiro,2009
139,,0,B.E.,0,0,1,0,0.88,0,92,Vila da Praia da Vitória,Açores,0,123,1.17,,False,89,0.85,11,10509,55.95,Paulo José Maio Sousa Mendes,2009
140,,0,CDS-PP,0,0,1,0,3.77,0,396,Vila da Praia da Vitória,Açores,0,123,1.17,,False,89,0.85,11,10509,55.95,Pedro Gabriel Correia Nunes Teixeira Pinto,2009
141,,2,PPD/PSD,0,0,1,2,23.84,0,2505,Vila da Praia da Vitória,Açores,0,123,1.17,,False,89,0.85,11,10509,55.95,Berto Graciliano da Almeida Cabral,2009
142,,5,PS,1,1,1,5,69.5,1,7304,Vila da Praia da Vitória,Açores,0,123,1.17,,False,89,0.85,11,10509,55.95,Roberto Lúcio Silva Pereira Monteiro,2009
143,,0,CDS-PP,0,0,1,0,0.59,0,18,Vila do Porto,Açores,0,30,0.98,,False,32,1.04,5,3071,61.01,Maria Adelaide da Fonseca Ferreira Branco Morgado,2009
144,,0,PCP-PEV,0,0,1,0,4.62,0,142,Vila do Porto,Açores,0,30,0.98,,False,32,1.04,5,3071,61.01,Daniel da Silva Gonçalves,2009
145,,3,PPD/PSD,1,1,1,3,55.85,1,1715,Vila do Porto,Açores,0,30,0.98,,False,32,1.04,5,3071,61.01,Carlos Henrique Lopes Rodrigues,2009
146,,2,PS,0,0,1,2,36.93,0,1134,Vila do Porto,Açores,0,30,0.98,,False,32,1.04,5,3071,61.01,Nélia Maria Coutinho Figueiredo,2009
147,,2,PCP-PEV,0,0,1,2,46.79,0,2980,Aljustrel,Beja,0,86,1.35,,False,48,0.75,5,6369,69.39,Manuel Francisco Colaço Machado,2009
148,,0,PPD/PSD.CDS-PP,0,0,1,0,2.04,0,130,Aljustrel,Beja,0,86,1.35,,False,48,0.75,5,6369,69.39,Carlos Miguel Maia Palma Agatão,2009
149,,3,PS,1,1,1,3,49.07,1,3125,Aljustrel,Beja,0,86,1.35,,False,48,0.75,5,6369,69.39,Nelson Domingos Brito,2009
150,,0,B.E.,0,0,1,0,2.1,0,108,Almodôvar,Beja,0,90,1.75,,False,96,1.87,8,5135,69.19,Carlos Manuel da Palma Rosa,2009
